Item,Label,ID,Preamble,CriticalCond,CriticalWord,InterveningCond,Intervening,FinalPunct,Predicate,sentence,Plausibility,PredicateWithPunct
0,2.1,4,The boy,2,licked,long,the big round,.,ball into the net,The boy licked the big round ball into the net.,implausible,ball into the net.
1,2.2,15,His,2,hand,long,was apparently no longer,.,bandaged tightly,His hand was apparently no longer bandaged tightly.,plausible,bandaged tightly.
2,2.Control,26,In the,2,vase,long,were a wide range of,.,homophones in this language,In the vase were a wide range of homophones in this language.,implausible,homophones in this language.
3,Control.1,37,She got a lovely,Control,voice,long,while spending some time in the,.,gift shop this morning,She got a lovely voice while spending some time in the gift shop this morning.,implausible,gift shop this morning.
4,Control.2,48,The,Control,dog,long,that was provided by the,.,doctor was excellent,The dog that was provided by the doctor was excellent.,implausible,doctor was excellent.
5,Typo1.1,59,The doctor,Typo1,wjred,long,the heavily sedated patient's,.,jaws shut during the surgery,The doctor wjred the heavily sedated patient's jaws shut during the surgery.,implausible,jaws shut during the surgery.
6,Typo2.2,70,Can you please,Typo2,zjp,long,that big black,?,bag up,Can you please zjp that big black bag up?,implausible,bag up?
7,1.1,71,The student,1,scored,long,a very difficult,.,goal with a header,The student scored a very difficult goal with a header.,plausible,goal with a header.
8,1.2,82,The,1,tires,long,were quickly and efficiently,.,extinguished by the firefighters,The tires were quickly and efficiently extinguished by the firefighters.,implausible,extinguished by the firefighters.
9,1.Control,93,The,1,bears,long,were last seen,.,planning with her friends,The bears were last seen planning with her friends.,implausible,planning with her friends.
10,2.1,104,The driver,2,pumped,long,the bright red,.,traffic cone with his car,The driver pumped the bright red traffic cone with his car.,implausible,traffic cone with his car.
11,2.2,115,Why did you,2,shove,long,your really nice,?,teammate for no reason,Why did you shove your really nice teammate for no reason?,plausible,teammate for no reason?
12,2.Control,126,The,2,chicks,long,were unexpectedly,.,spoken at the university,The chicks were unexpectedly spoken at the university.,implausible,spoken at the university.
13,Control.1,137,I watched as a ,Control,food,long,was quite masterfully,.,played by the pianist,I watched as a  food was quite masterfully played by the pianist.,implausible,played by the pianist.
14,Control.2,148,The doctor sees patients with,Control,insurance,long,or other kinds of,.,fragments in their bodies,The doctor sees patients with insurance or other kinds of fragments in their bodies.,implausible,fragments in their bodies.
15,Typo1.1,159,With two strong,Typo1,wjngs,long,this very powerful,.,bird can fly for hours,With two strong wjngs this very powerful bird can fly for hours.,implausible,bird can fly for hours.
16,Typo2.2,170,These,Typo2,hklls,long,definitely appear to be,.,"steep, unfortunately","These hklls definitely appear to be steep, unfortunately.",implausible,"steep, unfortunately."
17,1.1,171,The,1,facts,long,and other details of the,.,case were published,The facts and other details of the case were published.,plausible,case were published.
18,1.2,182,The rules state that the,1,loser,long,of the two relevant,.,amounts would be considered,The rules state that the loser of the two relevant amounts would be considered.,implausible,amounts would be considered.
19,1.Control,193,The,1,garbage,long,definitely needs to be,.,bankrupted by the lawsuit,The garbage definitely needs to be bankrupted by the lawsuit.,implausible,bankrupted by the lawsuit.
20,2.1,204,This,2,wine,long,is most definitely,.,blowing from the west,This wine is most definitely blowing from the west.,implausible,blowing from the west.
21,2.2,215,Thank you for,2,making,long,such good,.,pancakes for breakfast,Thank you for making such good pancakes for breakfast.,plausible,pancakes for breakfast.
22,2.Control,226,After being,2,sealed,long,carefully in the small,.,"illness, the patient recovered","After being sealed carefully in the small illness, the patient recovered.",implausible,"illness, the patient recovered."
23,Control.1,237,Because of all the,Control,exercise,long,my dog has become very ,.,overweight and unhealthy,Because of all the exercise my dog has become very  overweight and unhealthy.,implausible,overweight and unhealthy.
24,Control.2,248,The,Control,sky,long,contained lots of,.,fruits and vegetables,The sky contained lots of fruits and vegetables.,implausible,fruits and vegetables.
25,Typo1.1,259,These,Typo1,siants,long,had been talked about and,.,venerated by the worshippers,These siants had been talked about and venerated by the worshippers.,implausible,venerated by the worshippers.
26,Typo2.2,270,She knew how to,Typo2,unnite,long,every single one of the,.,community members,She knew how to unnite every single one of the community members.,implausible,community members.
27,1.1,271,Are you able to,1,reverse,long,both of these,?,transactions over the phone,Are you able to reverse both of these transactions over the phone?,plausible,transactions over the phone?
28,1.2,282,The documents were,1,stored,long,by the intern in,.,alphabetical order,The documents were stored by the intern in alphabetical order.,implausible,alphabetical order.
29,1.Control,293,He was ,1,tired,long,a long while after his,.,steel was forged,He was  tired a long while after his steel was forged.,implausible,steel was forged.
30,2.1,304,My friend is,2,craving,long,a massive,.,marble statue,My friend is craving a massive marble statue.,implausible,marble statue.
31,2.2,315,She,2,fired,long,every single one of the,.,employees and consultants,She fired every single one of the employees and consultants.,plausible,employees and consultants.
32,2.Control,326,The,2,trail,long,that was located in the,.,conversation was friendly,The trail that was located in the conversation was friendly.,implausible,conversation was friendly.
33,Control.1,337,Unlike the,Control,people,long,we discovered that the,.,females have dull feathers,Unlike the people we discovered that the females have dull feathers.,implausible,females have dull feathers.
34,Control.2,348,The chef's boss said his,Control,apartment,long,definitely needs to be,.,shaved off completely,The chef's boss said his apartment definitely needs to be shaved off completely.,implausible,shaved off completely.
35,Typo1.1,359,These,Typo1,geenes,long,can be quickly and cheaply,.,sequenced by a lab,These geenes can be quickly and cheaply sequenced by a lab.,implausible,sequenced by a lab.
