Item,Label,ID,Preamble,CriticalCond,CriticalWord,InterveningCond,Intervening,FinalPunct,Predicate,sentence,Plausibility,PredicateWithPunct
0,Control.1,7,The boy,Control,read,long,the big round,.,ball into the net,The boy read the big round ball into the net.,implausible,ball into the net.
1,Control.2,18,His,Control,house,long,was apparently no longer,.,bandaged tightly,His house was apparently no longer bandaged tightly.,implausible,bandaged tightly.
2,Typo1.1,29,In the,Typo1,basse,long,were a wide range of,.,soldiers from all over,In the basse were a wide range of soldiers from all over.,implausible,soldiers from all over.
3,Typo2.2,40,She got a lovely,Typo2,taan,long,while spending some time in the,.,sun over the holidays,She got a lovely taan while spending some time in the sun over the holidays.,implausible,sun over the holidays.
4,1.1,41,The,1,car,long,that was provided by the,.,dealer was excellent,The car that was provided by the dealer was excellent.,plausible,dealer was excellent.
5,1.2,52,The doctor,1,wired,long,the heavily sedated patient's,.,blood off during the surgery,The doctor wired the heavily sedated patient's blood off during the surgery.,implausible,blood off during the surgery.
6,1.Control,63,Can you please,1,dip,long,that big black,?,democracy in this country,Can you please dip that big black democracy in this country?,implausible,democracy in this country?
7,2.1,74,The student,2,scared,long,a very difficult,.,goal with a header,The student scared a very difficult goal with a header.,implausible,goal with a header.
8,2.2,85,The,2,fires,long,were quickly and efficiently,.,extinguished by the firefighters,The fires were quickly and efficiently extinguished by the firefighters.,plausible,extinguished by the firefighters.
9,2.Control,96,The,2,beers,long,were last seen,.,planning with her friends,The beers were last seen planning with her friends.,implausible,planning with her friends.
10,Control.1,107,The driver,Control,praised,long,the bright red,.,traffic cone with his car,The driver praised the bright red traffic cone with his car.,implausible,traffic cone with his car.
11,Control.2,118,Why did you,Control,drink,long,your really nice,?,teammate for no reason,Why did you drink your really nice teammate for no reason?,implausible,teammate for no reason?
12,Typo1.1,129,The,Typo1,chekcs,long,were unexpectedly,.,cashed on Monday,The chekcs were unexpectedly cashed on Monday.,implausible,cashed on Monday.
13,Typo2.2,140,I watched as a,Typo2,tiube,long,was quite masterfully,.,installed by the plumber,I watched as a tiube was quite masterfully installed by the plumber.,implausible,installed by the plumber.
14,1.1,141,The doctor sees patients with,1,mental,long,or other kinds of,.,illnesses affecting them,The doctor sees patients with mental or other kinds of illnesses affecting them.,plausible,illnesses affecting them.
15,1.2,152,With two strong,1,wings,long,this very powerful,.,team can qualify for the finals,With two strong wings this very powerful team can qualify for the finals.,implausible,team can qualify for the finals.
16,1.Control,163,These,1,bills,long,definitely appear to be,.,"spicy, unfortunately","These bills definitely appear to be spicy, unfortunately.",implausible,"spicy, unfortunately."
17,2.1,174,The,2,faces,long,and other details of the,.,case were published,The faces and other details of the case were published.,implausible,case were published.
18,2.2,185,The rules state that the,2,lower,long,of the two relevant,.,amounts would be considered,The rules state that the lower of the two relevant amounts would be considered.,plausible,amounts would be considered.
19,2.Control,196,The,2,garage,long,definitely needs to be,.,bankrupted by the lawsuit,The garage definitely needs to be bankrupted by the lawsuit.,implausible,bankrupted by the lawsuit.
20,Control.1,207,This,Control,desk,long,is most definitely,.,blowing from the west,This desk is most definitely blowing from the west.,implausible,blowing from the west.
21,Control.2,218,Thank you for,Control,being,long,such good,.,pancakes for breakfast,Thank you for being such good pancakes for breakfast.,implausible,pancakes for breakfast.
22,Typo1.1,229,After being,Typo1,seateed,long,carefully in the small,.,"theater, the audience fell silent","After being seateed carefully in the small theater, the audience fell silent.",implausible,"theater, the audience fell silent."
23,Typo2.2,240,Because of all the,Typo2,thraets,long,my dog has become very,.,scared and timid,Because of all the thraets my dog has become very scared and timid.,implausible,scared and timid.
24,1.1,241,The,1,chart,long,contained lots of,.,data and statistics,The chart contained lots of data and statistics.,plausible,data and statistics.
25,1.2,252,These,1,saints,long,had been talked about and,.,removed by the cleaners,These saints had been talked about and removed by the cleaners.,implausible,removed by the cleaners.
26,1.Control,263,She knew how to,1,untie,long,every single one of the,.,viruses in the winter,She knew how to untie every single one of the viruses in the winter.,implausible,viruses in the winter.
27,2.1,274,Are you able to,2,reserve,long,both of these,?,transactions over the phone,Are you able to reserve both of these transactions over the phone?,implausible,transactions over the phone?
28,2.2,285,The documents were,2,sorted,long,by the intern in,.,alphabetical order,The documents were sorted by the intern in alphabetical order.,plausible,alphabetical order.
29,2.Control,296,He was,2,tried,long,a long while after his,.,steel was forged,He was tried a long while after his steel was forged.,implausible,steel was forged.
30,Control.1,307,My friend is,Control,reading,long,a massive,.,marble statue,My friend is reading a massive marble statue.,implausible,marble statue.
31,Control.2,318,She,Control,sang,long,every single one of the,.,employees and consultants,She sang every single one of the employees and consultants.,implausible,employees and consultants.
32,Typo1.1,329,The,Typo1,trjal,long,that was located in the,.,courthouse attracted media attention,The trjal that was located in the courthouse attracted media attention.,implausible,courthouse attracted media attention.
33,Typo2.2,340,Unlike the,Typo2,mmeals,long,we discovered that the,.,transportation was not reimbursed,Unlike the mmeals we discovered that the transportation was not reimbursed.,implausible,transportation was not reimbursed.
34,1.1,341,The chef's boss said his,1,bread,long,definitely needs to be,.,baked at four hundred degrees,The chef's boss said his bread definitely needs to be baked at four hundred degrees.,plausible,baked at four hundred degrees.
35,1.2,352,These,1,genes,long,can be quickly and cheaply,.,washed at the laundromat,These genes can be quickly and cheaply washed at the laundromat.,implausible,washed at the laundromat.
