Item,Label,ID,Preamble,CriticalCond,CriticalWord,InterveningCond,Intervening,FinalPunct,Predicate,sentence,Plausibility,PredicateWithPunct
0,1.Control,3,The boy,1,kicked,long,the big round,.,breath after the run,The boy kicked the big round breath after the run.,implausible,breath after the run.
1,2.1,14,His,2,hand,long,was apparently no longer,.,performing live,His hand was apparently no longer performing live.,implausible,performing live.
2,2.2,25,In the,2,vase,long,were a wide range of,.,flowers from my mom,In the vase were a wide range of flowers from my mom.,plausible,flowers from my mom.
3,2.Control,36,She got a lovely,2,tan,long,while spending some time in the,.,smoothie at the juice bar,She got a lovely tan while spending some time in the smoothie at the juice bar.,implausible,smoothie at the juice bar.
4,Control.1,47,The,Control,dog,long,that was provided by the,.,dealer was excellent,The dog that was provided by the dealer was excellent.,implausible,dealer was excellent.
5,Control.2,58,The doctor,Control,watched,long,the heavily sedated patient's,.,blood off during the surgery,The doctor watched the heavily sedated patient's blood off during the surgery.,implausible,blood off during the surgery.
6,Typo1.1,69,Can you please,Typo1,djp,long,that big black,?,brush into the paint,Can you please djp that big black brush into the paint?,implausible,brush into the paint?
7,Typo2.2,80,The student,Typo2,scraed,long,a very difficult,.,teacher with a prank,The student scraed a very difficult teacher with a prank.,implausible,teacher with a prank.
8,1.1,81,The,1,tires,long,were quickly and efficiently,.,pumped up by the mechanic,The tires were quickly and efficiently pumped up by the mechanic.,plausible,pumped up by the mechanic.
9,1.2,92,The,1,bears,long,were last seen,.,chilling in the freezer,The bears were last seen chilling in the freezer.,implausible,chilling in the freezer.
10,1.Control,103,The driver,1,bumped,long,the bright red,.,inequality between the groups,The driver bumped the bright red inequality between the groups.,implausible,inequality between the groups.
11,2.1,114,Why did you,2,shove,long,your really nice,?,beard for no reason,Why did you shove your really nice beard for no reason?,implausible,beard for no reason?
12,2.2,125,The,2,chicks,long,were unexpectedly,.,hatched on Monday,The chicks were unexpectedly hatched on Monday.,plausible,hatched on Monday.
13,2.Control,136,I watched as a,2,tube,long,was quite masterfully,.,humored by my mother,I watched as a tube was quite masterfully humored by my mother.,implausible,humored by my mother.
14,Control.1,147,The doctor sees patients with,Control,insurance,long,or other kinds of,.,illnesses affecting them,The doctor sees patients with insurance or other kinds of illnesses affecting them.,implausible,illnesses affecting them.
15,Control.2,158,With two strong,Control,arms,long,this very powerful,.,team can qualify for the finals,With two strong arms this very powerful team can qualify for the finals.,implausible,team can qualify for the finals.
16,Typo1.1,169,These,Typo1,bklls,long,definitely appear to be,.,"counterfeit, unfortunately","These bklls definitely appear to be counterfeit, unfortunately.",implausible,"counterfeit, unfortunately."
17,Typo2.2,180,The,Typo2,fsces,long,and other details of the,.,people were blurred,The fsces and other details of the people were blurred.,implausible,people were blurred.
18,1.1,181,The rules state that the,1,loser,long,of the two relevant,.,matches would be eliminated,The rules state that the loser of the two relevant matches would be eliminated.,plausible,matches would be eliminated.
19,1.2,192,The,1,garbage,long,definitely needs to be,.,renovated due to its leaks,The garbage definitely needs to be renovated due to its leaks.,implausible,renovated due to its leaks.
20,1.Control,203,This,1,wind,long,is most definitely,.,emotional towards him,This wind is most definitely emotional towards him.,implausible,emotional towards him.
21,2.1,214,Thank you for,2,making,long,such good,.,care of her yesterday,Thank you for making such good care of her yesterday.,implausible,care of her yesterday.
22,2.2,225,After being,2,sealed,long,carefully in the small,.,"jar, the jam was sold","After being sealed carefully in the small jar, the jam was sold.",plausible,"jar, the jam was sold."
23,2.Control,236,Because of all the,2,threats,long,my dog has become very,.,translucent and aligned,Because of all the threats my dog has become very translucent and aligned.,implausible,translucent and aligned.
24,Control.1,247,The,Control,sky,long,contained lots of,.,data and statistics,The sky contained lots of data and statistics.,implausible,data and statistics.
25,Control.2,258,These,Control,emails,long,had been talked about and,.,removed by the cleaners,These emails had been talked about and removed by the cleaners.,implausible,removed by the cleaners.
26,Typo1.1,269,She knew how to,Typo1,unntie,long,every single one of the,.,knots for the sailboat,She knew how to unntie every single one of the knots for the sailboat.,implausible,knots for the sailboat.
27,Typo2.2,280,Are you able to,Typo2,resserve,long,both of these,?,rooms in the hotel,Are you able to resserve both of these rooms in the hotel?,implausible,rooms in the hotel?
28,1.1,281,The documents were,1,stored,long,by the intern in,.,filing cabinets,The documents were stored by the intern in filing cabinets.,plausible,filing cabinets.
29,1.2,292,He was,1,tired,long,a long while after his,.,arrest and indictment,He was tired a long while after his arrest and indictment.,implausible,arrest and indictment.
30,1.Control,303,My friend is,1,carving,long,a massive,.,dread and anxiety,My friend is carving a massive dread and anxiety.,implausible,dread and anxiety.
31,2.1,314,She,2,fired,long,every single one of the,.,chicken nuggets,She fired every single one of the chicken nuggets.,implausible,chicken nuggets.
32,2.2,325,The,2,trail,long,that was located in the,.,woods attracted hikers and campers,The trail that was located in the woods attracted hikers and campers.,plausible,woods attracted hikers and campers.
33,2.Control,336,Unlike the,2,meals,long,we discovered that the,.,jokes were funny,Unlike the meals we discovered that the jokes were funny.,implausible,jokes were funny.
34,Control.1,347,The chef's boss said his,Control,apartment,long,definitely needs to be,.,baked at four hundred degrees,The chef's boss said his apartment definitely needs to be baked at four hundred degrees.,implausible,baked at four hundred degrees.
35,Control.2,358,These,Control,prayers,long,can be quickly and cheaply,.,washed at the laundromat,These prayers can be quickly and cheaply washed at the laundromat.,implausible,washed at the laundromat.
