Item,Label,ID,Preamble,CriticalCond,CriticalWord,InterveningCond,Intervening,FinalPunct,Predicate,sentence,Plausibility,PredicateWithPunct
0,Control.2,8,The boy,Control,read,long,the big round,.,lollipop with delight,The boy read the big round lollipop with delight.,implausible,lollipop with delight.
1,Typo1.1,19,His,Typo1,bnd,long,was apparently no longer,.,performing live,His bnd was apparently no longer performing live.,implausible,performing live.
2,Typo2.2,30,In the,Typo2,vasse,long,were a wide range of,.,flowers from my mom,In the vasse were a wide range of flowers from my mom.,implausible,flowers from my mom.
3,1.1,31,She got a lovely,1,fan,long,while spending some time in the,.,gift shop this morning,She got a lovely fan while spending some time in the gift shop this morning.,plausible,gift shop this morning.
4,1.2,42,The,1,car,long,that was provided by the,.,doctor was excellent,The car that was provided by the doctor was excellent.,implausible,doctor was excellent.
5,1.Control,53,The doctor,1,wired,long,the heavily sedated patient's,.,grass in the field,The doctor wired the heavily sedated patient's grass in the field.,implausible,grass in the field.
6,2.1,64,Can you please,2,zip,long,that big black,?,brush into the paint,Can you please zip that big black brush into the paint?,implausible,brush into the paint?
7,2.2,75,The student,2,scared,long,a very difficult,.,teacher with a prank,The student scared a very difficult teacher with a prank.,plausible,teacher with a prank.
8,2.Control,86,The,2,fires,long,were quickly and efficiently,.,fermented in the cellar,The fires were quickly and efficiently fermented in the cellar.,implausible,fermented in the cellar.
9,Control.1,97,The,Control,papers,long,were last seen,.,roaming in the forest,The papers were last seen roaming in the forest.,implausible,roaming in the forest.
10,Control.2,108,The driver,Control,praised,long,the bright red,.,tank full of gas,The driver praised the bright red tank full of gas.,implausible,tank full of gas.
11,Typo1.1,119,Why did you,Typo1,shavve,long,your really nice,?,beard for no reason,Why did you shavve your really nice beard for no reason?,implausible,beard for no reason?
12,Typo2.2,130,The,Typo2,chikcs,long,were unexpectedly,.,hatched on Monday,The chikcs were unexpectedly hatched on Monday.,implausible,hatched on Monday.
13,1.1,131,I watched as a ,1,tune,long,was quite masterfully,.,played by the pianist,I watched as a  tune was quite masterfully played by the pianist.,plausible,played by the pianist.
14,1.2,142,The doctor sees patients with,1,mental,long,or other kinds of,.,fragments in their bodies,The doctor sees patients with mental or other kinds of fragments in their bodies.,implausible,fragments in their bodies.
15,1.Control,153,With two strong,1,wings,long,this very powerful,.,leaf is green,With two strong wings this very powerful leaf is green.,implausible,leaf is green.
16,2.1,164,These,2,hills,long,definitely appear to be,.,"counterfeit, unfortunately","These hills definitely appear to be counterfeit, unfortunately.",implausible,"counterfeit, unfortunately."
17,2.2,175,The,2,faces,long,and other details of the,.,people were blurred,The faces and other details of the people were blurred.,plausible,people were blurred.
18,2.Control,186,The rules state that the,2,lower,long,of the two relevant,.,synonyms would be chosen,The rules state that the lower of the two relevant synonyms would be chosen.,implausible,synonyms would be chosen.
19,Control.1,197,The,Control,lesson,long,definitely needs to be,.,tossed out due to its smell,The lesson definitely needs to be tossed out due to its smell.,implausible,tossed out due to its smell.
20,Control.2,208,This,Control,desk,long,is most definitely,.,delicious with steak,This desk is most definitely delicious with steak.,implausible,delicious with steak.
21,Typo1.1,219,Thank you for,Typo1,trking,long,such good,.,care of her yesterday,Thank you for trking such good care of her yesterday.,implausible,care of her yesterday.
22,Typo2.2,230,After being,Typo2,sealeed,long,carefully in the small,.,"jar, the jam was sold","After being sealeed carefully in the small jar, the jam was sold.",implausible,"jar, the jam was sold."
23,1.1,231,Because of all the,1,treats,long,my dog has become very ,.,overweight and unhealthy,Because of all the treats my dog has become very  overweight and unhealthy.,plausible,overweight and unhealthy.
24,1.2,242,The,1,chart,long,contained lots of,.,fruits and vegetables,The chart contained lots of fruits and vegetables.,implausible,fruits and vegetables.
25,1.Control,253,These,1,saints,long,had been talked about and,.,toasted at the wedding,These saints had been talked about and toasted at the wedding.,implausible,toasted at the wedding.
26,2.1,264,She knew how to,2,unite,long,every single one of the,.,knots for the sailboat,She knew how to unite every single one of the knots for the sailboat.,implausible,knots for the sailboat.
27,2.2,275,Are you able to,2,reserve,long,both of these,?,rooms in the hotel,Are you able to reserve both of these rooms in the hotel?,plausible,rooms in the hotel?
28,2.Control,286,The documents were,2,sorted,long,by the intern in,.,friendship and romance,The documents were sorted by the intern in friendship and romance.,implausible,friendship and romance.
29,Control.1,297,He was ,Control,born,long,a long while after his,.,shift ended,He was  born a long while after his shift ended.,implausible,shift ended.
30,Control.2,308,My friend is,Control,reading,long,a massive,.,cheeseburger and fries,My friend is reading a massive cheeseburger and fries.,implausible,cheeseburger and fries.
31,Typo1.1,319,She,Typo1,ffried,long,every single one of the,.,chicken nuggets,She ffried every single one of the chicken nuggets.,implausible,chicken nuggets.
32,Typo2.2,330,The,Typo2,trajl,long,that was located in the,.,woods attracted hikers and campers,The trajl that was located in the woods attracted hikers and campers.,implausible,woods attracted hikers and campers.
33,1.1,331,Unlike the,1,males,long,we discovered that the,.,females have dull feathers,Unlike the males we discovered that the females have dull feathers.,plausible,females have dull feathers.
34,1.2,342,The chef's boss said his,1,bread,long,definitely needs to be,.,shaved off completely,The chef's boss said his bread definitely needs to be shaved off completely.,implausible,shaved off completely.
35,1.Control,353,These,1,genes,long,can be quickly and cheaply,.,seared on a pan,These genes can be quickly and cheaply seared on a pan.,implausible,seared on a pan.
